MSE,RMSE,MAE,R2_Score,Directional_Accuracy,Model,Fold,Stock
0.0002565178900747,0.0160161758879812,0.0131068327720423,-0.0190022870165329,0.6031746031746031,LSTM,5,AAPL
0.000249093651855,0.0157827010316691,0.0125957314052936,0.0104900642694856,0.6031746031746031,GRU,5,AAPL
0.0002539344015746,0.0159353193119763,0.0129024970575846,-0.0087395303358139,0.6031746031746031,Transformer,5,AAPL
0.000253142597745,0.0159104556108578,0.0129110132725677,-0.0055941360205729,0.6190476190476191,Stacked_Ensemble,5,AAPL
0.0002683365163968,0.0163809803246572,0.0125926144047357,-1.084460595163916,0.492063492063492,Naive,6,AAPL
0.0001667798354467,0.0129143267515881,0.0093857032572883,-0.2955597684761468,0.492063492063492,Ridge_Regression,6,AAPL
0.0001350989154372,0.0116232059018704,0.0084903329672528,-0.0494597211732017,0.4761904761904761,Random_Forest,6,AAPL
0.0001754022170894,0.0132439502071476,0.0096814639677717,-0.3625391532123398,0.4285714285714285,XGBoost,6,AAPL
0.0001301356627464,0.0114077019046965,0.0085115597291987,-0.0109047574401441,0.5079365079365079,LSTM,6,AAPL
0.0001559618571475,0.0124884689673123,0.0089609657583425,-0.2115248045176756,0.4603174603174603,GRU,6,AAPL
0.0001310772737434,0.0114488983637478,0.0084700208520077,-0.0182192707445461,0.5079365079365079,Transformer,6,AAPL
0.0001389609243688,0.0117881688301805,0.0085822159483393,-0.0794601308979643,0.4126984126984127,Stacked_Ensemble,6,AAPL
0.0003068915419183,0.0175183201796952,0.0136626490785563,-0.6288451158436881,0.5714285714285714,Naive,7,AAPL
0.0002099045297403,0.0144880823348142,0.0111538465228538,-0.1140807789093376,0.5079365079365079,Ridge_Regression,7,AAPL
0.0001946165531116,0.0139505036866642,0.0109972721158092,-0.0329389334639615,0.5238095238095238,Random_Forest,7,AAPL
0.0001781715070155,0.0133480900137624,0.0100102346968247,0.0543441270142328,0.5714285714285714,XGBoost,7,AAPL
0.0001931475096051,0.0138977519622833,0.0103173978599676,-0.0251418976592536,0.5555555555555556,LSTM,7,AAPL
0.0001904368144298,0.0137998845803076,0.0103871054354935,-0.0107547217557053,0.5555555555555556,GRU,7,AAPL
0.0001891926057489,0.0137547303044788,0.0106061636699998,-0.0041510101635093,0.492063492063492,Transformer,7,AAPL
0.0001862435739028,0.0136471086279434,0.0102312668372306,0.011501151798656,0.5238095238095238,Stacked_Ensemble,7,AAPL
0.0001974105337296,0.0140502858949443,0.0116221220277225,-1.064507763998697,0.492063492063492,Naive,8,AAPL
0.0001157702881716,0.0107596602256585,0.0086982049113381,-0.2107188722662791,0.5079365079365079,Ridge_Regression,8,AAPL
0.0001049909580439,0.0102465095541832,0.0082475179837549,-0.0979892710702674,0.5396825396825397,Random_Forest,8,AAPL
0.0001262491957952,0.0112360667404234,0.0091833079900696,-0.3203066725649011,0.4285714285714285,XGBoost,8,AAPL
9.693453352021442e-05,0.0098455336838697,0.0080175140943731,-0.0137356567107831,0.5555555555555556,LSTM,8,AAPL
9.565127131216934e-05,0.009780146793999,0.0079710939251617,-0.000315375929905,0.5555555555555556,GRU,8,AAPL
0.0001142382551215,0.0106882297468565,0.0087215418447892,-0.194696960635067,0.4603174603174603,Transformer,8,AAPL
0.0001019658403325,0.0100978136412049,0.00821757014766,-0.0663527677675603,0.4761904761904761,Stacked_Ensemble,8,AAPL
0.0002817518963577,0.016785466819775,0.0123361267750043,-0.6802908428696532,0.5396825396825397,Naive,9,AAPL
0.0001827010060054,0.0135166936047795,0.0107725696625771,-0.0895785666133679,0.4444444444444444,Ridge_Regression,9,AAPL
0.0001747805861911,0.0132204608917837,0.0101232688596845,-0.042343360541285,0.5079365079365079,Random_Forest,9,AAPL
0.0001748698259258,0.013223835522491,0.010269163864485,-0.0428755617828546,0.492063492063492,XGBoost,9,AAPL
0.0001729968025889,0.0131528248900722,0.0095692676182367,-0.0317053655843027,0.5873015873015873,LSTM,9,AAPL
